runid,start_time,spatial_index,intersect_time,join_time,cluster_time,stop_time,total_time,user_id
630,4/4/2020 16:53,r_tree_local,2.257985353,9.804803848,25.50772452,4/4/2020 16:53,37.57151127,30
631,4/4/2020 16:53,r_tree_local,2.265964985,10.41923332,5.382571936,4/4/2020 16:54,18.06877422,1
632,4/4/2020 16:54,r_tree_local,2.267959595,23.02443361,2.184157372,4/4/2020 16:54,27.47754741,149
633,4/4/2020 16:54,r_tree_local,2.262944221,27.85010505,2.194129705,4/4/2020 16:55,32.30717897,97
634,4/4/2020 16:55,r_tree_local,2.248013496,15.96329045,11.34386539,4/4/2020 16:55,29.55614877,10
635,4/4/2020 16:55,r_tree_local,2.233025551,23.26581764,4.050149918,4/4/2020 16:56,29.54999065,34
636,4/4/2020 16:56,r_tree_local,2.233053207,8.827386618,2.358662844,4/4/2020 16:56,13.42009664,137
637,4/4/2020 16:56,r_tree_local,2.237043381,14.71961784,2.141298771,4/4/2020 16:56,19.09897661,154
638,4/4/2020 16:56,r_tree_local,2.252408266,12.63043404,58.36385512,4/4/2020 16:57,73.24769235,52
639,4/4/2020 16:57,r_tree_local,2.244993448,17.34662032,2.234374523,4/4/2020 16:58,21.82797074,63
640,4/4/2020 16:58,r_tree_local,2.233054399,11.50430274,2.317772627,4/4/2020 16:58,16.05809331,46
641,4/4/2020 16:58,r_tree_local,2.247014761,13.92377543,3.266264915,4/4/2020 16:58,19.43899512,7
642,4/4/2020 16:58,r_tree_local,2.245023012,11.81333184,2.1851542,4/4/2020 16:59,16.24553657,47
643,4/4/2020 16:59,r_tree_local,2.235049963,10.90230751,10.84300685,4/4/2020 16:59,23.98133373,84
644,4/4/2020 16:59,r_tree_local,2.247014999,8.760639906,8.312947273,4/4/2020 16:59,19.32060218,50
645,4/4/2020 16:59,r_tree_local,2.258085251,9.37693882,2.186124802,4/4/2020 17:00,13.82212019,149
646,4/4/2020 17:00,r_tree_local,2.234022617,8.172162533,2.520266056,4/4/2020 17:00,12.92742276,103
647,4/4/2020 17:00,r_tree_local,2.238037825,11.90929103,2.593082428,4/4/2020 17:00,16.74138141,83
648,4/4/2020 17:00,r_tree_local,2.237016678,23.24185944,2.184135675,4/4/2020 17:01,27.66301179,99
649,4/4/2020 17:01,r_tree_local,2.2429986,21.69498992,7.51056385,4/4/2020 17:01,31.45148945,24
650,4/4/2020 17:01,r_tree_local,2.251975775,26.83100224,2.178198814,4/4/2020 17:02,31.26314497,47
651,4/4/2020 17:02,r_tree_local,2.231059074,26.55303288,58.62127233,4/4/2020 17:03,87.40536427,52
652,4/4/2020 17:03,r_tree_local,2.25097847,29.32853007,2.170289278,4/4/2020 17:04,33.75273871,139
653,4/4/2020 17:04,r_tree_local,2.242000818,17.66632724,2.156295538,4/4/2020 17:04,22.06660819,146
654,4/4/2020 17:04,r_tree_local,2.244994879,25.74219966,3.296180964,4/4/2020 17:05,31.2833755,78
655,4/4/2020 17:05,r_tree_local,2.242997646,7.454085112,3.144559622,4/4/2020 17:05,12.84264874,124
656,4/4/2020 17:05,r_tree_local,2.236045122,6.591406584,2.215080738,4/4/2020 17:05,11.0445199,101
657,4/4/2020 17:05,r_tree_local,2.27095294,8.684764385,2.18060565,4/4/2020 17:05,13.13730693,161
658,4/4/2020 17:05,r_tree_local,2.233025551,18.64719725,2.281868219,4/4/2020 17:06,23.16309834,31
659,4/4/2020 17:06,r_tree_local,2.244023323,13.63150358,2.181251049,4/4/2020 17:06,18.05778337,80
660,4/4/2020 17:06,r_tree_local,2.252973557,11.08687162,3.107681751,4/4/2020 17:06,16.44949603,125
661,4/4/2020 17:06,r_tree_local,2.242002487,18.34109282,2.155206442,4/4/2020 17:06,22.73830175,173
662,4/4/2020 17:06,r_tree_local,2.244024277,18.90242791,10.44216704,4/4/2020 17:07,31.58861923,2
663,4/4/2020 17:07,r_tree_local,2.239037275,18.50525308,2.582093,4/4/2020 17:07,23.32837677,130
664,4/4/2020 17:07,r_tree_local,2.26396966,11.87622643,7.869947433,4/4/2020 17:08,22.01111031,62
665,4/4/2020 17:08,r_tree_local,2.239036322,52.71250057,2.199093103,4/4/2020 17:09,57.15063,152
666,4/4/2020 17:09,r_tree_local,2.289898157,22.64943147,2.185169935,4/4/2020 17:09,27.12547421,87
667,4/4/2020 17:09,r_tree_local,2.253968716,12.68708348,2.191137791,4/4/2020 17:09,17.13415885,102
668,4/4/2020 17:09,r_tree_local,2.238039732,16.39915204,2.189147949,4/4/2020 17:10,20.82827973,97
669,4/4/2020 17:10,r_tree_local,2.245990753,13.93093395,10.67244601,4/4/2020 17:10,26.85135555,141
670,4/4/2020 17:10,r_tree_local,2.249982119,12.70410299,3.094721079,4/4/2020 17:11,18.05079985,64
671,4/4/2020 17:11,r_tree_local,2.241004467,21.26220918,2.21607399,4/4/2020 17:11,25.72125602,47
672,4/4/2020 17:11,r_tree_local,2.262972593,27.57979345,3.269254208,4/4/2020 17:12,33.11202025,29
673,4/4/2020 17:12,r_tree_local,2.249009371,20.61893129,2.215064526,4/4/2020 17:12,25.08398604,117
674,4/4/2020 17:12,r_tree_local,2.263971806,22.61547852,2.210183382,4/4/2020 17:12,27.09163308,146
675,4/4/2020 17:12,r_tree_local,2.24638772,17.43937016,2.996954918,4/4/2020 17:13,22.68370986,64
